perturbation_scan_id	batch_id	cmap_name	concentration (M)	duration (h)	cell	array	vehicle	rep;cell;cmap_name	rep;cell;cmap_name;array	rep;cell;cmap_name;array;batch_id	rep;cell;cmap_name;array;batch_id;concentration (M)
5500024024211121606513.A01	632	tolazoline	2.04e-05	6	MCF7	HT_HG-U133A	DMSO	2716	232	3825	5955
5500024024211121606513.A02	632	tolnaftate	1.3e-05	6	MCF7	HT_HG-U133A	DMSO	1516	2448	5188	2099
5500024024211121606513.A03	632	trimethobenzamide	9.4e-06	6	MCF7	HT_HG-U133A	DMSO	2034	3734	733	4719
5500024024211121606513.A04	632	metronidazole	2.34e-05	6	MCF7	HT_HG-U133A	DMSO	3504	0	2176	2401
5500024024211121606513.A05	632	khellin	1.5399999999999998e-05	6	MCF7	HT_HG-U133A	DMSO	2740	3669	4473	4603
5500024024211121606513.A06	632	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	1808	1912
5500024024211121606513.A07	633	chlortetracycline	7.8e-06	6	MCF7	HT_HG-U133A	DMSO	3242	1274	1951	2984
5500024024211121606513.A08	633	paclitaxel	4.6e-06	6	MCF7	HT_HG-U133A	DMSO	1295	969	2020	1534
5500024024211121606513.A09	633	aciclovir	1.7800000000000002e-05	6	MCF7	HT_HG-U133A	DMSO	3463	1859	2828	6181
5500024024211121606513.A10	633	guanabenz	1.3800000000000002e-05	6	MCF7	HT_HG-U133A	DMSO	2734	2304	4772	5844
5500024024211121606513.A11	633	lisuride	1.18e-05	6	MCF7	HT_HG-U133A	DMSO	2133	3590	480	2940
5500024024211121606513.A12	633	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	583	3571
5500024024211121606513.B01	632	sulfaguanidine	1.86e-05	6	MCF7	HT_HG-U133A	DMSO	1617	1591	2942	2917
5500024024211121606513.B02	632	minoxidil	1.92e-05	6	MCF7	HT_HG-U133A	DMSO	3275	1737	3470	3168
5500024024211121606513.B03	632	4-hydroxyphenazone	1.96e-05	6	MCF7	HT_HG-U133A	DMSO	2187	6	3625	4679
5500024024211121606513.B04	632	niclosamide	1.22e-05	6	MCF7	HT_HG-U133A	DMSO	2872	110	4946	4656
5500024024211121606513.B05	632	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	1808	1912
5500024024211121606513.B06	632	lidocaine	1.4800000000000002e-05	6	MCF7	HT_HG-U133A	DMSO	2295	3666	2505	1648
5500024024211121606513.B07	633	lynestrenol	1.4e-05	6	MCF7	HT_HG-U133A	DMSO	1699	999	4867	6203
5500024024211121606513.B08	633	danazol	1.18e-05	6	MCF7	HT_HG-U133A	DMSO	2685	2809	2168	3238
5500024024211121606513.B10	633	perphenazine	1e-05	6	MCF7	HT_HG-U133A	DMSO	387	823	3426	551
5500024024211121606513.B11	633	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	583	3571
5500024024211121606513.C02	632	diflunisal	1.6e-05	6	MCF7	HT_HG-U133A	DMSO	2301	2772	2265	2516
5500024024211121606513.C03	632	amylocaine	1.4800000000000002e-05	6	MCF7	HT_HG-U133A	DMSO	1867	174	6063	3654
5500024024211121606513.C04	632	pheniramine	1.12e-05	6	MCF7	HT_HG-U133A	DMSO	3065	868	4723	3317
5500024024211121606513.C05	632	acebutolol	1.0800000000000002e-05	6	MCF7	HT_HG-U133A	DMSO	3583	3046	2764	2022
5500024024211121606513.C06	632	diphemanil metilsulfate	1.02e-05	6	MCF7	HT_HG-U133A	DMSO	3329	2474	2926	3411
5500024024211121606513.C07	633	hesperetin	1.32e-05	6	MCF7	HT_HG-U133A	DMSO	641	444	2270	4156
5500024024211121606513.C08	633	diltiazem	8.8e-06	6	MCF7	HT_HG-U133A	DMSO	3350	2396	2516	3561
5500024024211121606513.C09	633	loperamide	7.8e-06	6	MCF7	HT_HG-U133A	DMSO	2429	3785	4934	1219
5500024024211121606513.C10	633	josamycin	4.8e-06	6	MCF7	HT_HG-U133A	DMSO	203	891	4916	4748
5500024024211121606513.C12	633	baclofen	1.88e-05	6	MCF7	HT_HG-U133A	DMSO	2156	2732	1870	4994
5500024024211121606513.D01	632	oxetacaine	8.599999999999999e-06	6	MCF7	HT_HG-U133A	DMSO	2761	1821	1077	2349
5500024024211121606513.D02	632	isoxsuprine	1.18e-05	6	MCF7	HT_HG-U133A	DMSO	341	1220	1474	466
5500024024211121606513.D03	632	thioridazine	9.8e-06	6	MCF7	HT_HG-U133A	DMSO	2035	200	4479	2892
5500024024211121606513.D04	632	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	1808	1912
5500024024211121606513.D05	632	hydrochlorothiazide	1.34e-05	6	MCF7	HT_HG-U133A	DMSO	1478	779	5146	6274
5500024024211121606513.D06	632	captopril	1.7199999999999998e-05	6	MCF7	HT_HG-U133A	DMSO	2865	1382	4311	1138
5500024024211121606513.D07	633	midecamycin	5e-06	6	MCF7	HT_HG-U133A	DMSO	1010	17	1653	5721
5500024024211121606513.D08	633	moroxydine	1.92e-05	6	MCF7	HT_HG-U133A	DMSO	166	1315	2401	4
5500024024211121606513.D09	633	azathioprine	1.44e-05	6	MCF7	HT_HG-U133A	DMSO	2427	1829	2105	4114
5500024024211121606513.D10	633	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	583	3571
5500024024211121606513.D11	633	famotidine	1.18e-05	6	MCF7	HT_HG-U133A	DMSO	142	205	3493	2662
5500024024211121606513.D12	633	ampicillin	1e-05	6	MCF7	HT_HG-U133A	DMSO	2273	1013	3721	5109
5500024024211121606513.E01	632	amprolium	1.26e-05	6	MCF7	HT_HG-U133A	DMSO	1485	2975	3634	3030
5500024024211121606513.E02	632	idoxuridine	1.12e-05	6	MCF7	HT_HG-U133A	DMSO	1821	1120	3671	1610
5500024024211121606513.E03	632	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	1808	1912
5500024024211121606513.E04	632	ethambutol	1.44e-05	6	MCF7	HT_HG-U133A	DMSO	688	2463	5385	2055
5500024024211121606513.E05	632	hexamethonium bromide	1e-05	6	MCF7	HT_HG-U133A	DMSO	1509	2760	3550	1929
5500024024211121606513.E06	632	dicycloverine	1.16e-05	6	MCF7	HT_HG-U133A	DMSO	2375	2461	2855	3305
5500024024211121606513.E07	633	cyproheptadine	1.24e-05	6	MCF7	HT_HG-U133A	DMSO	23	247	2157	5925
5500024024211121606513.E08	633	ciprofloxacin	1.0800000000000002e-05	6	MCF7	HT_HG-U133A	DMSO	3456	3668	688	3487
5500024024211121606513.E09	633	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	583	3571
5500024024211121606513.E10	633	dehydrocholic acid	9.6e-06	6	MCF7	HT_HG-U133A	DMSO	2521	11	4314	5014
5500024024211121606513.E11	633	hydroxyzine	9e-06	6	MCF7	HT_HG-U133A	DMSO	1361	2565	4091	3626
5500024024211121606513.E12	633	chlorhexidine	8e-06	6	MCF7	HT_HG-U133A	DMSO	38	669	1091	5291
5500024024211121606513.F01	632	doxylamine	1.02e-05	6	MCF7	HT_HG-U133A	DMSO	1314	1030	3354	1326
5500024024211121606513.F02	632	pyrimethamine	1.6e-05	6	MCF7	HT_HG-U133A	DMSO	2508	1567	4350	4564
5500024024211121606513.F03	632	ticlopidine	1.34e-05	6	MCF7	HT_HG-U133A	DMSO	3139	773	6166	6052
5500024024211121606513.F04	632	oxybuprocaine	1.16e-05	6	MCF7	HT_HG-U133A	DMSO	2302	1779	952	1034
5500024024211121606513.F05	632	miconazole	9.6e-06	6	MCF7	HT_HG-U133A	DMSO	2594	2288	3680	1036
5500024024211121606513.F06	632	prednisone	1.12e-05	6	MCF7	HT_HG-U133A	DMSO	332	668	6022	4484
5500024024211121606513.F07	633	metanephrine	1.7199999999999998e-05	6	MCF7	HT_HG-U133A	DMSO	1421	1988	5795	5831
5500024024211121606513.F08	633	loxapine	9e-06	6	MCF7	HT_HG-U133A	DMSO	1730	1558	225	4711
5500024024211121606513.F09	633	dipyridamole	8e-06	6	MCF7	HT_HG-U133A	DMSO	2674	2733	5740	1166
5500024024211121606513.F10	633	oleandomycin	5e-06	6	MCF7	HT_HG-U133A	DMSO	3113	1907	5676	2033
5500024024211121606513.F11	633	edrophonium chloride	1.98e-05	6	MCF7	HT_HG-U133A	DMSO	2513	97	2108	2487
5500024024211121606513.F12	633	azacyclonol	1.5e-05	6	MCF7	HT_HG-U133A	DMSO	1745	3696	2622	5
5500024024211121606513.G01	632	minaprine	1.0800000000000002e-05	6	MCF7	HT_HG-U133A	DMSO	3382	2051	3818	3574
5500024024211121606513.G02	632	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	1808	1912
5500024024211121606513.G03	632	cinchocaine	1.16e-05	6	MCF7	HT_HG-U133A	DMSO	2389	3216	3520	5250
5500024024211121606513.G04	632	amiloride	1.32e-05	6	MCF7	HT_HG-U133A	DMSO	3127	2973	5187	740
5500024024211121606513.G06	632	levodopa	2.02e-05	6	MCF7	HT_HG-U133A	DMSO	1117	1578	1587	5497
5500024024211121606513.G07	633	erythromycin	5.400000000000001e-06	6	MCF7	HT_HG-U133A	DMSO	794	2446	3820	6095
5500024024211121606513.G08	633	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	583	3571
5500024024211121606513.G09	633	cotinine	2.26e-05	6	MCF7	HT_HG-U133A	DMSO	1577	2797	1899	4367
5500024024211121606513.G10	633	zimeldine	9.8e-06	6	MCF7	HT_HG-U133A	DMSO	792	607	931	6263
5500024024211121606513.G11	633	amoxapine	1.28e-05	6	MCF7	HT_HG-U133A	DMSO	3527	593	1324	4241
5500024024211121606513.G12	633	metolazone	1.1e-05	6	MCF7	HT_HG-U133A	DMSO	113	3447	3273	356
5500024024211121606513.H01	632	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	1808	1912
5500024024211121606513.H02	632	sulfathiazole	1.56e-05	6	MCF7	HT_HG-U133A	DMSO	2888	1117	5597	5454
5500024024211121606513.H03	632	cimetidine	1.58e-05	6	MCF7	HT_HG-U133A	DMSO	1375	3805	4794	594
5500024024211121606513.H05	632	naphazoline	1.62e-05	6	MCF7	HT_HG-U133A	DMSO	402	1565	3104	933
5500024024211121606513.H06	632	sulpiride	1.18e-05	6	MCF7	HT_HG-U133A	DMSO	1868	983	4926	1293
5500024024211121606513.H07	633	DMSO	0.0	6	MCF7	HT_HG-U133A	DMSO	1750	3071	583	3571
5500024024211121606513.H08	633	apomorphine	6.4e-06	6	MCF7	HT_HG-U133A	DMSO	1432	2507	1973	3523
5500024024211121606513.H09	633	naloxone	1.1e-05	6	MCF7	HT_HG-U133A	DMSO	1147	1057	4027	4596
5500024024211121606513.H10	633	bromocriptine	5.400000000000001e-06	6	MCF7	HT_HG-U133A	DMSO	2606	249	4427	7
5500024024211121606513.H11	633	glipizide	9e-06	6	MCF7	HT_HG-U133A	DMSO	232	122	2467	1764
5500024024211121606513.H12	633	verapamil	8.2e-06	6	MCF7	HT_HG-U133A	DMSO	102	3260	2363	4334
