perturbation_scan_id	batch_id	cmap_name	concentration (M)	duration (h)	cell	array	vehicle	rep;cell;cmap_name	rep;cell;cmap_name;array	rep;cell;cmap_name;array;batch_id	rep;cell;cmap_name;array;batch_id;concentration (M)
EC2003090502AA	1	medium	0.0	6	MCF7	HG-U133A	medium	1125	3155	5255	2264
EC2003090503AA	1	metformin	1e-05	6	MCF7	HG-U133A	medium	2428	1273	3225	2497
EC2003090504AA	1	metformin	1e-05	6	MCF7	HG-U133A	medium	2428	1273	3225	2497
EC2003090505AA	1	metformin	1e-07	6	MCF7	HG-U133A	medium	2428	1273	3225	1368
EC2003090506AA	1	metformin	0.001	6	MCF7	HG-U133A	medium	2428	1273	3225	1346
EC2003091104AA	2	phenformin	1e-05	6	MCF7	HG-U133A	medium	603	550	86	5170
EC2003091105AA	2	phenyl biguanide	1e-05	6	MCF7	HG-U133A	medium	2233	945	3143	259
EC2003091106AA	2	valproic acid	0.001	6	MCF7	HG-U133A	medium	469	735	329	4743
EC2003091103AA	2	metformin	1e-05	6	MCF7	HG-U133A	medium	2428	1273	4563	301
EC2003091102AA	2	medium	0.0	6	MCF7	HG-U133A	medium	1125	3155	461	69
EC2003092303AA	5	estradiol	1e-08	6	MCF7	HG-U133A	DMSO	999	3195	5916	5524
EC2003092305AA	5	dexamethasone	1e-06	6	MCF7	HG-U133A	DMSO	2686	2478	4695	6016
EC2003092306AA	5	mesalazine	0.0001	6	MCF7	HG-U133A	DMSO	1047	1404	4718	2873
EC2003092302AA	5	DMSO	0.0	6	MCF7	HG-U133A	DMSO	1750	2227	1977	1798
EC2003092304AA	5	alpha-estradiol	1e-08	6	MCF7	HG-U133A	DMSO	3530	3162	2114	6055
EC2003092502AA	6	DMSO	0.0	6	MCF7	HG-U133A	DMSO	1750	2227	765	6194
EC2003092503AA	6	chlorpropamide	0.0001	6	MCF7	HG-U133A	DMSO	800	38	857	5629
EC2003092504AA	6	tolbutamide	0.0001	6	MCF7	HG-U133A	DMSO	2988	2489	5565	4394
EC2003092506AA	6	chlorpropamide	0.0001	6	MCF7	HG-U133A	DMSO	800	38	857	5629
EC2003092505AA	6	tamoxifen	1e-06	6	MCF7	HG-U133A	DMSO	1922	811	1322	290
EC2003100104AA	7	dexverapamil	1e-05	6	MCF7	HG-U133A	DMSO	3520	932	3828	5667
EC2003100105AA	7	exemestane	1e-08	6	MCF7	HG-U133A	DMSO	1512	2042	834	4366
EC2003100106AA	7	rofecoxib	1e-05	6	MCF7	HG-U133A	DMSO	1046	2751	2740	1619
EC2003100102AA	7	DMSO	0.0	6	MCF7	HG-U133A	DMSO	1750	2227	2187	1319
